Feature,Importance
X27,0.4172470493627113
X21,0.3427730864833049
X6,0.2707045692947158
X39,0.26192270420512714
X9,0.18043649555571853
X29,0.14649206448693597
X51,0.11811410279863323
X24,0.11737849704321311
X56,0.09459500323318565
X8,0.08074639457704304
X61,0.06012248433858371
X43,0.0592974609160495
X10,0.058247945189742294
X13,0.0558212663456723
X58,0.054429442607282136
X2,0.05399589981134024
X44,0.051697514812347266
X49,0.04916624752129809
X36,0.04886960361140945
X53,0.04793659688487173
X4,0.04708769619804739
X54,0.04426456299998612
X62,0.04410366630296219
X45,0.04308608300520363
X28,0.038971942480062874
X42,0.03130198639574904
X30,0.029435231819734817
X32,0.02919240088706895
X33,0.027855864658568
X16,0.027139060882700072
X3,0.02567023936921582
X1,0.02437051232766695
X41,0.023969928679607438
X55,0.022648324405156062
X64,0.02196370626429427
X20,0.020435474817902713
X15,0.017501639526800585
X19,0.01609701820288415
X12,0.015631274928998865
X57,0.015258886300770056
X31,0.01381412474620873
X5,0.012824363877630968
X59,0.00941924442802757
X47,0.008515188538985552
X37,0.0077895810767556065
